Wavelength (nm)	N13 abs N
435.25	0.012014
435.50	0.010230
435.75	0.010522
436.00	0.010569
436.25	0.011275
436.50	0.0099861
436.75	0.0099996
437.00	0.010251
437.25	0.010610
437.50	0.011492
437.75	0.012673
438.00	0.013622
438.25	0.012028
438.50	0.011696
438.75	0.0097825
439.00	0.012829
439.25	0.013127
439.50	0.012713
439.75	0.013215
440.00	0.013107
440.25	0.013175
440.50	0.011892
440.75	0.013907
441.00	0.013541
441.25	0.013073
441.50	0.014789
441.75	0.014416
442.00	0.015461
442.25	0.015237
442.50	0.014918
442.75	0.014959
443.00	0.016248
443.25	0.015841
443.50	0.016404
443.75	0.016071
444.00	0.018079
444.25	0.016872
444.50	0.017394
444.75	0.017754
445.00	0.016594
445.25	0.017740
445.50	0.019803
445.75	0.016336
446.00	0.016953
446.25	0.019626
446.50	0.021458
446.75	0.020481
447.00	0.022075
447.25	0.021254
447.50	0.021397
447.75	0.022272
448.00	0.021634
448.25	0.022204
448.50	0.023072
448.75	0.024266
449.00	0.022726
449.25	0.024531
449.50	0.024002
449.75	0.026057
450.00	0.025949
450.25	0.027136
450.50	0.026946
450.75	0.027618
451.00	0.026492
451.25	0.027584
451.50	0.028140
451.75	0.028622
452.00	0.030121
452.25	0.030548
452.50	0.030318
452.75	0.031783
453.00	0.031607
453.25	0.031518
453.50	0.032828
453.75	0.032869
454.00	0.033004
454.25	0.033201
454.50	0.034381
454.75	0.032902
455.00	0.035670
455.25	0.035813
455.50	0.036288
455.75	0.037482
456.00	0.038208
456.25	0.037502
456.50	0.038845
456.75	0.040514
457.00	0.040901
457.25	0.040724
457.50	0.041267
457.75	0.040826
458.00	0.042617
458.25	0.041776
458.50	0.043798
458.75	0.043716
459.00	0.044937
459.25	0.046437
459.50	0.046559
459.75	0.047223
460.00	0.047156
460.25	0.049232
460.50	0.047671
460.75	0.050453
461.00	0.049808
461.25	0.050080
461.50	0.050609
461.75	0.052956
462.00	0.053641
462.25	0.053675
462.50	0.055615
462.75	0.054571
463.00	0.055988
463.25	0.056938
463.50	0.057271
463.75	0.057182
464.00	0.058180
464.25	0.058716
464.50	0.058885
464.75	0.061280
465.00	0.061619
465.25	0.063132
465.50	0.063132
465.75	0.063430
466.00	0.064224
466.25	0.065167
466.50	0.065676
466.75	0.065832
467.00	0.068220
467.25	0.068342
467.50	0.068267
467.75	0.069984
468.00	0.069963
468.25	0.072148
468.50	0.072901
468.75	0.072799
469.00	0.073640
469.25	0.075628
469.50	0.076612
469.75	0.077161
470.00	0.076279
470.25	0.079142
470.50	0.080228
470.75	0.082195
471.00	0.082419
471.25	0.084793
471.50	0.084563
471.75	0.086781
472.00	0.087242
472.25	0.088429
472.50	0.089691
472.75	0.090282
473.00	0.093497
473.25	0.094087
473.50	0.094644
473.75	0.098260
474.00	0.099352
474.25	0.10004
474.50	0.10255
474.75	0.10264
475.00	0.10538
475.25	0.10679
475.50	0.11019
475.75	0.10945
476.00	0.11276
476.25	0.11652
476.50	0.11713
476.75	0.11889
477.00	0.12141
477.25	0.12413
477.50	0.12517
477.75	0.12734
478.00	0.13022
478.25	0.13183
478.50	0.13433
478.75	0.13556
479.00	0.13863
479.25	0.14141
479.50	0.14439
479.75	0.14438
480.00	0.14767
480.25	0.14963
480.50	0.15296
480.75	0.15471
481.00	0.15753
481.25	0.16020
481.50	0.16151
481.75	0.16376
482.00	0.16590
482.25	0.17026
482.50	0.17118
482.75	0.17550
483.00	0.17924
483.25	0.17997
483.50	0.18255
483.75	0.18698
484.00	0.18950
484.25	0.19095
484.50	0.19340
484.75	0.19660
485.00	0.19890
485.25	0.20377
485.50	0.20448
485.75	0.20902
486.00	0.21165
486.25	0.21314
486.50	0.21562
486.75	0.21920
487.00	0.22180
487.25	0.22373
487.50	0.22762
487.75	0.23000
488.00	0.23304
488.25	0.23646
488.50	0.23984
488.75	0.24205
489.00	0.24291
489.25	0.24693
489.50	0.24981
489.75	0.25163
490.00	0.25291
490.25	0.25700
490.50	0.25982
490.75	0.26096
491.00	0.26411
491.25	0.26620
491.50	0.26825
491.75	0.27153
492.00	0.27364
492.25	0.27450
492.50	0.27641
492.75	0.28061
493.00	0.28285
493.25	0.28401
493.50	0.28624
493.75	0.28591
494.00	0.29006
494.25	0.28924
494.50	0.29101
494.75	0.29293
495.00	0.29395
495.25	0.29608
495.50	0.29917
495.75	0.30070
496.00	0.30295
496.25	0.30274
496.50	0.30567
496.75	0.30609
497.00	0.30795
497.25	0.30873
497.50	0.30987
497.75	0.31022
498.00	0.31177
498.25	0.31440
498.50	0.31553
498.75	0.31628
499.00	0.31902
499.25	0.32020
499.50	0.32133
499.75	0.32442
500.00	0.32330
500.25	0.32610
500.50	0.32545
500.75	0.32879
501.00	0.32962
501.25	0.33231
501.50	0.33420
501.75	0.33520
502.00	0.33697
502.25	0.33830
502.50	0.34034
502.75	0.34347
503.00	0.34505
503.25	0.34651
503.50	0.34821
503.75	0.34996
504.00	0.35191
504.25	0.35447
504.50	0.35860
504.75	0.36026
505.00	0.36275
505.25	0.36516
