Wavelength (nm)	N11 abs e
545.75	1.0260e+05
546.00	1.0240e+05
546.25	1.0197e+05
546.50	1.0149e+05
546.75	1.0096e+05
547.00	1.0013e+05
547.25	99254
547.50	98871
547.75	98201
548.00	97533
548.25	96535
548.50	95786
548.75	94743
549.00	93953
549.25	93066
549.50	91907
549.75	91276
550.00	89740
550.25	89233
550.50	87855
550.75	87094
551.00	86078
551.25	84790
551.50	83795
551.75	82506
552.00	81572
552.25	79936
552.50	79277
552.75	77920
553.00	76977
553.25	75466
553.50	74433
553.75	73183
554.00	71809
554.25	70513
554.50	69334
554.75	67609
555.00	66176
555.25	64607
555.50	63215
555.75	61764
556.00	60820
556.25	59320
556.50	58265
556.75	57001
557.00	55767
557.25	54598
557.50	53167
557.75	52123
558.00	51169
558.25	50017
558.50	48733
558.75	47761
559.00	46690
559.25	45088
559.50	44516
559.75	43035
560.00	42103
560.25	41056
560.50	39872
560.75	38997
561.00	37940
561.25	37071
561.50	36180
561.75	35024
562.00	33893
562.25	33013
562.50	32359
562.75	31095
563.00	30665
563.25	29413
563.50	28710
563.75	27762
564.00	26807
564.25	26140
564.50	25380
564.75	24558
565.00	23707
565.25	23003
565.50	22135
565.75	21605
566.00	20900
566.25	20049
566.50	19471
566.75	18847
567.00	18215
567.25	17647
567.50	16943
567.75	16426
568.00	15641
568.25	15319
568.50	14480
568.75	14129
569.00	13628
569.25	13212
569.50	12695
569.75	12064
570.00	11424
570.25	11191
570.50	10460
570.75	10525
571.00	10076
571.25	9443.5
571.50	9005.5
571.75	8800.9
572.00	8503.2
572.25	8289.6
572.50	7635.4
572.75	7766.8
573.00	6965.1
573.25	6993.7
573.50	6561.1
573.75	6602.2
574.00	6360.9
574.25	5830.9
574.50	5771.9
574.75	5501.1
575.00	5552.0
575.25	5178.4
575.50	4953.2
575.75	4651.1
576.00	4667.2
576.25	4252.5
576.50	4076.4
576.75	3725.2
577.00	3746.6
577.25	3458.9
577.50	3345.3
577.75	3359.6
578.00	3089.7
578.25	2926.2
578.50	2866.3
578.75	2671.5
579.00	2507.9
579.25	2472.1
579.50	2273.7
579.75	2055.6
580.00	1826.0
580.25	2071.7
580.50	1914.4
580.75	1703.5
581.00	1245.9
581.25	1559.6
581.50	1452.4
581.75	1389.8
582.00	1534.6
582.25	1312.9
582.50	1209.3
582.75	1132.4
583.00	1140.4
583.25	799.02
583.50	820.47
583.75	839.24
584.00	869.63
584.25	981.35
584.50	621.16
584.75	581.84
585.00	729.31
585.25	526.42
585.50	589.88
585.75	347.67
586.00	700.71
586.25	485.31
586.50	383.42
586.75	352.14
587.00	468.33
587.25	390.57
587.50	432.58
587.75	380.74
588.00	347.67
588.25	359.29
588.50	256.51
588.75	222.55
589.00	41.113
589.25	96.526
589.50	167.13
589.75	203.78
590.00	199.31
590.25	86.695
590.50	157.30
590.75	224.33
591.00	-25.919
591.25	96.526
591.50	-44.688
591.75	13.406
592.00	-96.526
592.25	-37.538
592.50	105.46
592.75	30.388
593.00	81.332
593.25	143.90
593.50	111.72
593.75	65.245
594.00	9.8314
594.25	130.49
594.50	-149.26
594.75	91.164
595.00	30.388
595.25	18.769
595.50	-172.50
595.75	65.245
596.00	28.600
596.25	59.882
596.50	111.72
596.75	-25.919
597.00	4.4688
597.25	-102.78
597.50	267.23
597.75	322.65
598.00	-112.61
598.25	194.84
598.50	-62.563
598.75	137.64
599.00	-182.33
599.25	-168.03
599.50	-129.60
599.75	-33.963
600.00	-6.2564
600.25	3.5750
600.50	204.67
600.75	200.20
601.00	-103.68
601.25	-64.351
601.50	196.63
601.75	156.41
602.00	-9.8314
602.25	213.61
602.50	12.513
602.75	103.68
603.00	38.432
603.25	-44.688
603.50	84.013
603.75	-132.28
604.00	199.31
604.25	-3.5750
604.50	109.93
604.75	-57.201
605.00	-65.245
605.25	141.21
605.50	-125.13
605.75	37.538
606.00	-186.80
606.25	-45.582
606.50	79.545
606.75	19.663
607.00	4.7779e-05
607.25	44.688
607.50	317.29
607.75	-198.41
608.00	213.61
608.25	180.54
608.50	3.5750
608.75	61.670
609.00	-97.420
609.25	98.314
609.50	-16.981
609.75	139.43
610.00	-181.43
610.25	266.34
610.50	191.26
610.75	124.23
611.00	-33.963
611.25	10.725
611.50	46.476
611.75	260.98
612.00	17.875
612.25	76.863
612.50	4.7779e-05
612.75	234.17
613.00	-81.332
613.25	185.01
613.50	31.282
613.75	193.05
614.00	186.80
614.25	52.732
614.50	165.35
614.75	-10.725
615.00	302.98
615.25	-93.845
615.50	100.99
615.75	169.81
616.00	35.750
616.25	207.35
616.50	194.84
616.75	329.80
617.00	129.60
617.25	7.1500
617.50	5.3625
617.75	-92.057
618.00	3.5750
618.25	84.907
618.50	178.75
618.75	146.58
619.00	160.88
619.25	-67.032
619.50	255.62
619.75	77.757
620.00	-139.43
620.25	275.28
620.50	-15.194
620.75	182.33
621.00	-31.282
621.25	43.794
621.50	335.16
621.75	141.21
622.00	269.92
622.25	25.919
622.50	97.420
622.75	186.80
623.00	72.395
623.25	176.07
623.50	-69.713
623.75	193.05
624.00	29.494
624.25	64.351
624.50	51.838
624.75	248.47
625.00	216.29
625.25	193.95
625.50	-84.907
625.75	154.62
626.00	89.376
626.25	53.626
626.50	52.732
626.75	276.17
627.00	146.58
627.25	182.33
627.50	-32.175
627.75	174.28
628.00	84.907
628.25	-102.78
628.50	176.96
628.75	-25.919
629.00	165.35
629.25	-97.420
629.50	73.288
629.75	-127.81
630.00	361.97
630.25	191.26
630.50	-58.094
630.75	228.80
631.00	-30.388
631.25	273.49
631.50	180.54
631.75	159.09
632.00	34.857
632.25	-67.926
632.50	199.31
632.75	68.820
633.00	131.38
633.25	27.707
633.50	123.34
633.75	168.92
634.00	151.94
634.25	-81.332
634.50	69.713
634.75	74.182
635.00	57.201
635.25	201.10
635.50	-47.369
635.75	162.66
636.00	127.81
636.25	-16.981
636.50	101.89
636.75	172.50
637.00	145.68
637.25	-128.70
637.50	215.40
637.75	120.66
638.00	-35.750
638.25	339.63
638.50	191.26
638.75	-42.901
639.00	249.36
639.25	0.89377
639.50	173.39
639.75	-45.582
640.00	217.18
640.25	12.513
640.50	33.963
640.75	-34.857
641.00	73.288
641.25	255.62
641.50	17.875
641.75	118.87
642.00	169.81
642.25	100.10
642.50	-100.10
642.75	91.164
643.00	99.207
643.25	-27.707
643.50	189.48
643.75	-135.85
644.00	172.50
644.25	131.38
644.50	62.563
644.75	-11.619
645.00	68.820
645.25	46.476
645.50	175.18
645.75	47.369
646.00	-3.5750
646.25	14.300
646.50	160.88
646.75	-160.88
647.00	288.68
